fecha,region,ciudad,cliente,vendedor,categoria,producto,metodo_pago,estado,unidades,precio_unitario,costo_unitario,monto
2026-07-26,Centro,CDMX,Grupo Aranda,Luis Prado,Materiales,Cemento,Credito,Completada,120,150,110,18000
2026-07-27,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Aceite,Transferencia,Completada,204,45,30,9180
2026-07-28,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Monitor,Credito,Completada,17,1500,1000,25500
2026-08-01,Norte,Saltillo,Aceros Coahuila,Ana Torres,Alimentos,Harina,Credito,Completada,167,45,29,7515
2026-08-02,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Tubo PVC,Transferencia,Devuelta,69,120,80,8280
2026-08-03,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Cafe,Transferencia,Devuelta,62,120,82,7440
2026-08-05,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Laptop,Transferencia,Completada,6,12000,9200,72000
2026-08-06,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Laptop,Transferencia,Completada,8,12000,9200,96000
2026-08-08,Centro,CDMX,Grupo Aranda,Luis Prado,Materiales,Grava,Transferencia,Devuelta,150,90,55,13500
2026-08-10,Norte,Saltillo,Aceros Coahuila,Ana Torres,Alimentos,Aceite,Transferencia,Completada,227,45,30,10215
2026-08-11,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Harina,Credito,Completada,147,45,29,6615
2026-08-13,Centro,CDMX,Grupo Aranda,Luis Prado,Alimentos,Cafe,Efectivo,Completada,41,120,82,4920
2026-08-14,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Materiales,Pintura,Credito,Completada,46,170,120,7820
2026-08-15,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Harina,Tarjeta,Completada,150,45,29,6750
2026-08-17,Centro,Queretaro,Comercial Rios,Marta Solis,Alimentos,Harina,Credito,Completada,140,45,29,6300
2026-08-18,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Laptop,Transferencia,Completada,5,12000,9200,60000
2026-08-19,Centro,Queretaro,Comercial Rios,Marta Solis,Materiales,Varilla,Efectivo,Completada,94,180,130,16920
2026-08-20,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Monitor,Tarjeta,Pendiente,17,1500,1000,25500
2026-08-23,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Alimentos,Arroz,Credito,Completada,147,60,40,8820
2026-08-24,Centro,CDMX,Corporativo Zenit,Luis Prado,Alimentos,Harina,Credito,Completada,165,45,29,7425
2026-08-25,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Cemento,Transferencia,Devuelta,157,150,110,23550
2026-08-26,Centro,Queretaro,Comercial Rios,Marta Solis,Electronica,Teclado,Efectivo,Completada,40,250,150,10000
2026-08-28,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Grava,Efectivo,Completada,139,90,55,12510
2026-09-02,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Cafe,Tarjeta,Devuelta,88,120,82,10560
2026-09-03,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Arroz,Transferencia,Devuelta,128,60,40,7680
2026-09-04,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Disco SSD,Efectivo,Completada,17,900,620,15300
2026-09-05,Occidente,Leon,Innova Bajio,Diego Ramos,Electronica,Laptop,Efectivo,Devuelta,7,12000,9200,84000
2026-09-06,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Router WiFi,Efectivo,Completada,20,650,430,13000
2026-09-07,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Grava,Credito,Completada,104,90,55,9360
2026-09-10,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Tubo PVC,Credito,Completada,60,120,80,7200
2026-09-14,Centro,Queretaro,Comercial Rios,Marta Solis,Materiales,Cemento,Tarjeta,Completada,115,150,110,17250
2026-09-15,Centro,CDMX,Corporativo Zenit,Luis Prado,Alimentos,Arroz,Efectivo,Completada,128,60,40,7680
2026-09-17,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Materiales,Tubo PVC,Tarjeta,Completada,70,120,80,8400
2026-09-18,Centro,Queretaro,Comercial Rios,Marta Solis,Alimentos,Aceite,Efectivo,Completada,230,45,30,10350
2026-09-19,Occidente,Leon,Innova Bajio,Diego Ramos,Electronica,Disco SSD,Efectivo,Devuelta,15,900,620,13500
2026-09-22,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Cemento,Efectivo,Completada,102,150,110,15300
2026-09-23,Centro,CDMX,Corporativo Zenit,Luis Prado,Materiales,Tubo PVC,Efectivo,Completada,69,120,80,8280
2026-09-26,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Pintura,Tarjeta,Completada,57,170,120,9690
2026-09-28,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Tubo PVC,Transferencia,Completada,69,120,80,8280
2026-10-01,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Cafe,Tarjeta,Completada,61,120,82,7320
2026-10-02,Norte,Saltillo,Aceros Coahuila,Ana Torres,Alimentos,Aceite,Transferencia,Completada,182,45,30,8190
2026-10-04,Centro,Puebla,Distribuidora Vela,Marta Solis,Electronica,Laptop,Tarjeta,Completada,4,12000,9200,48000
2026-10-05,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Disco SSD,Tarjeta,Devuelta,17,900,620,15300
2026-10-06,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Materiales,Grava,Transferencia,Devuelta,115,90,55,10350
2026-10-08,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Tubo PVC,Credito,Completada,73,120,80,8760
2026-10-09,Sureste,Merida,Peninsular Trade,Sofia Lara,Electronica,Monitor,Tarjeta,Completada,19,1500,1000,28500
2026-10-10,Centro,Puebla,Distribuidora Vela,Marta Solis,Alimentos,Cafe,Tarjeta,Completada,66,120,82,7920
2026-10-11,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Tubo PVC,Tarjeta,Completada,68,120,80,8160
2026-10-12,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Harina,Credito,Devuelta,153,45,29,6885
2026-10-13,Centro,Puebla,Distribuidora Vela,Marta Solis,Materiales,Cemento,Credito,Pendiente,145,150,110,21750
2026-10-14,Norte,Saltillo,Aceros Coahuila,Ana Torres,Electronica,Disco SSD,Credito,Completada,30,900,620,27000
2026-10-16,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Laptop,Efectivo,Completada,3,12000,9200,36000
2026-10-17,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Grava,Efectivo,Completada,125,90,55,11250
2026-10-18,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Alimentos,Arroz,Transferencia,Completada,140,60,40,8400
2026-10-22,Centro,Puebla,Distribuidora Vela,Marta Solis,Alimentos,Harina,Credito,Completada,141,45,29,6345
2026-10-23,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Harina,Credito,Completada,140,45,29,6300
2026-10-24,Occidente,Leon,Innova Bajio,Diego Ramos,Alimentos,Arroz,Efectivo,Completada,126,60,40,7560
2026-10-26,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Grava,Efectivo,Devuelta,167,90,55,15030
2026-10-27,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Electronica,Disco SSD,Transferencia,Completada,18,900,620,16200
2026-11-01,Centro,CDMX,Corporativo Zenit,Luis Prado,Materiales,Varilla,Credito,Devuelta,110,180,130,19800
2026-11-03,Norte,Monterrey,Constructora Lumen,Ana Torres,Electronica,Laptop,Efectivo,Devuelta,7,12000,9200,84000
2026-11-04,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Materiales,Tubo PVC,Tarjeta,Completada,71,120,80,8520
2026-11-05,Occidente,Leon,Innova Bajio,Diego Ramos,Materiales,Varilla,Tarjeta,Completada,109,180,130,19620
2026-11-06,Norte,Saltillo,Aceros Coahuila,Ana Torres,Electronica,Monitor,Tarjeta,Completada,18,1500,1000,27000
2026-11-07,Centro,Queretaro,Comercial Rios,Marta Solis,Alimentos,Arroz,Efectivo,Completada,127,60,40,7620
2026-11-08,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Disco SSD,Credito,Completada,15,900,620,13500
2026-11-10,Centro,CDMX,Corporativo Zenit,Luis Prado,Electronica,Disco SSD,Credito,Completada,22,900,620,19800
2026-11-11,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Laptop,Efectivo,Completada,5,12000,9200,60000
2026-11-12,Sureste,Merida,Peninsular Trade,Sofia Lara,Alimentos,Arroz,Tarjeta,Completada,124,60,40,7440
2026-11-13,Centro,Queretaro,Comercial Rios,Marta Solis,Materiales,Cemento,Transferencia,Devuelta,159,150,110,23850
2026-11-15,Norte,Monterrey,Constructora Lumen,Ana Torres,Alimentos,Harina,Credito,Completada,172,45,29,7740
2026-11-16,Occidente,Leon,Innova Bajio,Diego Ramos,Electronica,Laptop,Transferencia,Completada,9,12000,9200,108000
2026-11-17,Norte,Monterrey,Constructora Lumen,Ana Torres,Electronica,Router WiFi,Efectivo,Completada,32,650,430,20800
2026-11-18,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Teclado,Credito,Completada,30,250,150,7500
2026-11-20,Centro,CDMX,Corporativo Zenit,Luis Prado,Alimentos,Cafe,Credito,Completada,73,120,82,8760
2026-11-21,Centro,Puebla,Distribuidora Vela,Marta Solis,Alimentos,Azucar,Credito,Completada,154,44,29,6776
2026-11-22,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Grava,Transferencia,Completada,109,90,55,9810
2026-11-25,Centro,CDMX,Grupo Aranda,Luis Prado,Electronica,Laptop,Credito,Devuelta,4,12000,9200,48000
2026-11-26,Occidente,Leon,Innova Bajio,Diego Ramos,Electronica,Router WiFi,Efectivo,Completada,28,650,430,18200
2026-11-27,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Varilla,Efectivo,Completada,81,180,130,14580
2026-11-28,Centro,CDMX,Corporativo Zenit,Luis Prado,Electronica,Monitor,Credito,Completada,8,1500,1000,12000
2026-12-01,Centro,Queretaro,Comercial Rios,Marta Solis,Electronica,Disco SSD,Transferencia,Completada,14,900,620,12600
2026-12-02,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Alimentos,Harina,Credito,Pendiente,144,45,29,6480
2026-12-03,Centro,CDMX,Corporativo Zenit,Luis Prado,Electronica,Router WiFi,Efectivo,Completada,31,650,430,20150
2026-12-04,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Disco SSD,Transferencia,Completada,18,900,620,16200
2026-12-05,Norte,Monterrey,Ferreteria del Norte,Ana Torres,Materiales,Pintura,Transferencia,Completada,44,170,120,7480
2026-12-06,Norte,Monterrey,Constructora Lumen,Ana Torres,Alimentos,Aceite,Efectivo,Completada,183,45,30,8235
2026-12-07,Occidente,Guadalajara,Tecno Solutions,Diego Ramos,Electronica,Laptop,Efectivo,Completada,5,12000,9200,60000
2026-12-08,Norte,Saltillo,Aceros Coahuila,Ana Torres,Materiales,Tubo PVC,Transferencia,Completada,83,120,80,9960
2026-12-10,Centro,Puebla,Distribuidora Vela,Marta Solis,Alimentos,Aceite,Transferencia,Completada,160,45,30,7200
2026-12-11,Norte,Saltillo,Aceros Coahuila,Ana Torres,Electronica,Router WiFi,Credito,Completada,28,650,430,18200
2026-12-12,Norte,Monterrey,Constructora Lumen,Ana Torres,Materiales,Grava,Efectivo,Completada,142,90,55,12780
